position,salary_range,company,category1,category2,location,remote,must have,nice to have,seniority
Full-Stack Developer (Angular/ .NET),16 500  – 26 500  PLN,KMD Poland,Fullstack,.NET,Remote,False,".NET, Angular, Docker, Git, CI/CD, English (B2)","AKS, Azure Pipelines, Azure DevOps, Angular Material, PowerBI",Senior
Samodzielna/y Księgowa/y,7 000  – 9 500  PLN,Ekkom Sp. z o.o.,Finance,None,Wrocław,False,Polish,English,Mid
Portfolio Support Analyst  (PMO Admin),21 000  – 25 200  PLN,Wipro Digital,IT Support,None,Krakow,False,"Agile, Confluence, Jira, SharePoint, English",Polish,Mid
Business Analyst (Financial Systems),12 000  – 18 000  PLN,Falck IT Poland Sp. z o.o.,Business Analysis,None,Warszawa,False,"Business Analyst, English",None,Mid
Cloud Architect,18 000  – 23 000  PLN,Falck IT Poland Sp. z o.o.,Architecture,None,Warszawa,False,"SAFe, Public cloud, Enterprise Architect, Service design, Prototyping, English",AWS Cloud,Mid
Cloud Engineer,15 000  – 23 000  PLN,Falck IT Poland Sp. z o.o.,Architecture,Azure,Warszawa,False,"Azure Cloud, PowerShell, Python, Terraform, JSON, DevOps, Azure, English",Git,Senior
Data Engineer,16 000  – 18 000  PLN,Falck IT Poland Sp. z o.o.,Data,SQL,Warszawa,False,"Microsoft SQL Server, IaaS, PaaS, SaaS, Azure Data, Data Lake, CAN, Python, SQL, English",None,Mid
IT Contract Manager,17 000  – 19 000  PLN,Falck IT Poland Sp. z o.o.,Sys. Administrator,None,Warszawa,False,"managing IT contracts, Excel, English",communication skills,Mid
Senior Power BI Developer/Data Analyst,20 500  – 24 000  PLN,Objectivity - part of Accenture,Business Intelligence,None,Remote,False,"Power BI, SQL, Data modeling, DAX, English (B2)",Tableau,"Senior, Expert"
Senior Marketing Manager,10 471  – 14 660  PLN,Railsware,Marketing,None,Remote,False,"Google Analytics, English (C1)",Figma,Senior
Product Manager - FMCG,7 000  – 11 000  PLN,Creative Ideas,Marketing,None,Wrocław,False,"Google Analytics, Digital marketing, English (B2)",CMS,Mid
PM Sales Specialist B2B,5 500  PLN,Creative Ideas,Sales,None,Warszawa,False,English (B2),None,Junior
Frontend Angular Engineer,10 000  – 14 000  PLN,Appfire,Frontend,Angular,Remote,False,"Angular, JavaScript, TypeScript, RxJS, Sass, HTML, OOP, Design Patterns, English (B2)",Polish,Mid
Technology Project Manager,25 200  – 29 400  PLN,Wipro Digital,Project Manager,None,Krakow,False,"Agile, Confluence, Jira, English",Polish,Senior
Full Stack (Front-end emphasis),22 000  – 27 000  PLN,DCX,Fullstack,React,Wrocław,False,"React, CI/CD Pipelines, Terraform, CI/CD, JavaScript, TypeScript, Polish, English","REST API, Elasticsearch, Docker, Kubernetes, TDD, BDD",Senior
Programista PLC,20 000  – 30 000  PLN,NOARCO,Automation,None,Wrocław,False,"PLC, TIA, English (B2)",None,"Mid, Senior"
Analityk Systemowy,15 120  – 20 160  PLN,Avenga,Business Analysis,None,Warszawa/ Centrum,False,"PL/SQL, Oracle, BPM, PostgreSQL, MongoDB, English (B2)","Postman, SoapUI, Jira, GitLab",Mid
PPC Specialist,8 377  – 12 566  PLN,WiserBrand,Marketing,None,Remote,False,"Pay-per-click, Google Ads, E-commerce, Tier 1, English (B1), Ukrainian (NATIVE)","Bing Ads, Facebook Ads",Senior
Remote MLOps Engineer,18 000  – 34 000  PLN,LiveChat,AI,Python,Remote,False,"Python, Machine Learning, PyTorch, TensorFlow, Keras, Kubernetes, Docker, DevOps, CI/CD, NLP, Polish (NATIVE), English (B2)","Google Cloud Platform, AWS, Azure","Mid, Senior"
Remote Senior Business - System Analyst,16 800  – 25 200  PLN,Link Group,Business Analysis,None,Remote,False,"UML, BPMN, MS Office Suite, Agile, Waterfall, English (B2), Polish","ITIL, Jira, Confluence, SharePoint, Enterprise Architect","Mid, Senior"
IT Voice Engineer,18 000  – 24 000  PLN,Link Group,Telecommunication,None,Kraków,False,"Cisco, Verint, MS Teams, WebEx, Movius, Excel, VBS, PowerShell, Polish, English",None,Mid
Senior Python Backend Engineer (MedTech),21 840  – 25 200  PLN,Sigma IT Poland,Backend,Python,Remote,False,"Python, Docker, SQL, Cloud, Kubernetes, API Gateway, Service mesh, Microservices, Polish (B2), English (C1)","DAPR, Helm, ArgoCD, CI/CD",Senior
"Sales Team Lead (Poland, Bulgaria)",16 000  – 22 000  PLN,Ringostat,Sales,None,Remote,False,"CRM, Excel, Google Sheets, Polish (NATIVE), English (B2)",SaaS,Expert
Webflow Developer,11 645  – 17 020  PLN,Netguru,Frontend,Webflow,Remote,False,"Webflow, CMS, Rwd, HTML, CSS, JavaScript, jQuery, Figma, English (B2)","GSAP, WCAG, UX, UI, Open API",Mid
Linux System Engineer,28 000  – 36 000  PLN,Harvey Nash Technology,Sys. Administrator,None,Warszawa,False,"Linux, CentOS, Ubuntu, Ansible, English (C1)","Puppet, Terraform, Salt, RHEL","Mid, Senior"
