positon,salary_range,company,category1,category2,must_have,nice_to_have,location,seniority
Administrator infrastruktury,16 800 – 20 160 PLN,Avenga,Sys. Administrator,,Linux,Kubernetes,Łódź,Mid
Młodszy inżynier elektronik,6 000 – 8 400 PLN,Prime Engineering,Electronics,,Sodlidworks,Angielski (B2),Wrocław,Junior
Managed Cloud Database Administrator,14 000 – 20 000 PLN,Nordcloud,Data,SQL,SQL,NoSQL,Remote,Mid
IT Voice Engineer,18 000 – 24 000 PLN,Link Group,,,Cisco,,Kraków,Mid
Senior Python Backend Engineer (MedTech),21 840 – 25 200 PLN,Sigma IT Poland,Backend,Python,Python,DAPR,Remote,Senior
Webflow Developer,11 626 – 16 992 PLN,Netguru,Frontend,Webflow,Webflow,GSAP,Remote,Mid
Remote Avionics Test Automation Engineer,23 520 – 33 000 PLN,int2code GmbH,Testing,Python,Python,ISTQB-Certification,Remote,Mid
Sales Development Representative,6 000 – 9 000 PLN,CodiLime,Sales,,experience in selling IT services,,Remote,Mid
SAP ABAP Developer,24 000 – 33 500 PLN,CSHARK Sp. z o.o.,ERP,,SAP,Azure,Remote,Senior
Account Manager,8 000 – 12 000 PLN,TR Group,Sales,,Angielski,,Kraków,Mid
Remote Mid Project Manager - Mechanics,12 000 – 16 000 PLN,Thoriana Sp. z o.o.,Mechanics,,Angielski (B2),MES,Remote,Mid
Remote Mid Analyst - AI,12 000 – 16 000 PLN,Thoriana Sp. z o.o.,AI,,Visio,,Remote,Mid
Junior Marketing Specialist,4 800 – 6 000 PLN,Thoriana Sp. z o.o.,Marketing,,Canva,,Warsaw,Junior
Junior Project Manager - Finance,8 000 – 12 000 PLN,Thoriana Sp. z o.o.,Finance,,Angielski (B2),,Warsaw,Junior
Remote Senior Project Manager -Mechanics,17 000 – 22 000 PLN,Thoriana Sp. z o.o.,Mechanics,,MES,,Remote,Senior
,,,,,,,,
Spec. ds. Sprzedaży MS Dynamics 365,9 000 – 12 000 PLN,Probit Sp. z o.o.,Sales,,ERP,Angielski (B2),Remote,"Mid, Senior"
Embedded Software Engineer,16 800 – 33 600 PLN,ASTEK Polska,Embedded,C++,C,AUTOSAR,Remote,"Senior, Expert"
System Engineer for Automotive,16 800 – 31 500 PLN,ASTEK Polska,Embedded,,Embedded,IBM DOORS,Remote,"Senior, Expert"
Remote Mid Back Office Specialist,4 500 – 6 000 PLN,Thoriana Sp. z o.o.,Backoffice,,MS Office,,Remote,Mid
Remote Mid Project Manager - AI,12 000 – 16 000 PLN,Thoriana Sp. z o.o.,AI,,AI,,Remote,Mid
Remote Mid Sales Specialist,5 500 – 8 000 PLN,Thoriana Sp. z o.o.,Sales,,MS Office,,Remote,Mid
Senior Linux Systems Engineer,14 000 – 20 000 PLN,Keepit,Sys. Administrator,,Linux,Git,Kraków,Senior
TechOps Engineer,12 000 – 16 000 PLN,Keepit,Sys. Administrator,,Ubuntu,PostgreSQL,Kraków,Mid
C++ Developer,13 000 – 18 500 PLN,Keepit,Backend,C++,C++,,Kraków,Mid
Java Performance Tester,14 400 – 27 200 PLN,Sii Polska,Testing,Java,Java,,Remote,Mid
Junior HR Specialist,4 800 – 6 000 PLN,Thoriana Sp. z o.o.,HR,,MS Office,,Warsaw,Junior
Remote Mid Project Manager - Finance,12 000 – 16 000 PLN,Thoriana Sp. z o.o.,Finance,,Angielski (B2),PMP,Remote,Mid
Remote Mid Business Analyst - Finance,12 000 – 16 000 PLN,Thoriana Sp. z o.o.,Finance,,Visio,,Remote,Mid
Projektant - Inż. ds. Uruchomień (AKPIA),5 000 – 10 000 PLN,ControlTec Sp. z o.o.,Electrical Engineering,,AutoCAD,EPLAN,Wrocław,Mid
